pair0,pair1,idx
399,257,787
279,305,788
396,256,789
121,259,790
264,256,791
103,274,792
313,100,793
261,299,794
369,305,795
529,378,796
353,288,797
303,491,798
343,259,799
445,106,800
277,281,801
492,295,802
109,275,803
118,259,804
271,109,805
296,259,806
99,286,807
722,348,808
108,263,809
112,479,810
66,527,811
454,407,812
111,121,813
365,257,814
258,423,815
99,374,816
274,436,817
294,401,818
277,338,819
263,335,820
110,647,821
312,277,822
290,116,823
278,348,824
105,256,825
418,256,826
76,259,827
570,426,828
297,116,829
114,317,830
115,308,831
115,259,832
97,312,833
115,262,834
104,117,835
362,324,836
313,327,837
442,365,838
313,285,839
449,256,840
283,395,841
297,105,842
283,65,843
98,345,844
269,65,845
104,586,846
111,112,847
325,114,848
99,345,849
311,633,850
98,108,851
269,395,852
302,256,853
109,272,854
101,333,855
782,259,856
257,284,857
258,78,858
499,514,859
263,114,860
106,634,861
386,317,862
278,347,863
357,548,864
110,111,865
103,363,866
560,108,867
325,260,868
265,531,869
118,101,870
318,416,871
258,72,872
258,80,873
99,482,874
98,301,875
439,257,876
287,427,877
112,349,878
109,257,879
512,259,880
117,116,881
831,274,882
67,648,883
70,117,884
565,116,885
318,264,886
310,488,887
270,279,888
668,314,889
392,387,890
558,102,891
327,267,892
286,114,893
99,259,894
291,319,895
389,377,896
115,309,897
105,103,898
84,256,899
476,287,900
350,272,901
717,569,902
337,116,903
288,305,904
262,547,905
111,122,906
306,281,907
89,257,908
398,317,909
109,294,910
700,556,911
104,389,912
97,450,913
397,278,914
280,268,915
100,271,916
102,273,917
557,300,918
327,727,919
257,289,920
299,304,921
97,313,922
263,116,923
488,600,924
287,100,925
362,409,926
67,266,927
110,646,928
103,380,929
275,272,930
713,514,931
99,294,932
391,289,933
100,609,934
111,103,935
306,270,936
636,114,937
357,281,938
100,317,939
492,424,940
337,405,941
313,313,942
100,262,943
102,659,944
305,277,945
263,346,946
375,110,947
393,262,948
735,289,949
304,270,950
275,271,951
106,262,952
114,280,953
116,302,954
540,649,955
258,86,956
114,277,957
117,115,958
301,99,959
257,288,960
118,484,961
283,423,962
467,548,963
963,333,964
478,312,965
262,273,966
269,72,967
532,363,968
78,544,969
421,274,970
320,425,971
811,290,972
539,674,973
269,423,974
97,471,975
105,331,976
460,331,977
108,307,978
304,311,979
256,270,980
265,101,981
336,319,982
112,345,983
299,259,984
97,318,985
112,294,986
553,114,987
287,268,988
98,510,989
97,307,990
360,317,991
109,297,992
458,289,993
463,915,994
257,298,995
403,118,996
105,285,997
429,69,998
283,80,999
101,487,1000
456,257,1001
257,370,1002
101,287,1003
257,311,1004
104,292,1005
105,108,1006
891,264,1007
99,371,1008
353,319,1009
348,270,1010
359,260,1011
99,101,1012
487,556,1013
278,286,1014
944,122,1015
32,270,1016
557,641,1017
118,296,1018
665,293,1019
299,917,1020
287,117,1021
111,273,1022
303,291,1023
105,98,1024
337,307,1025
670,320,1026
121,257,1027
372,288,1028
100,290,1029
312,394,1030
414,305,1031
97,104,1032
111,287,1033
491,257,1034
374,562,1035
109,262,1036
330,262,1037
108,277,1038
109,402,1039
269,80,1040
563,115,1041
85,110,1042
448,114,1043
588,112,1044
111,322,1045
118,703,1046
479,676,1047
770,383,1048
315,296,1049
280,114,1050
99,648,1051
652,300,1052
543,391,1053
109,675,1054
410,641,1055
258,469,1056
114,273,1057
515,324,1058
389,290,1059
306,311,1060
341,112,1061
397,524,1062
103,257,1063
104,813,1064
117,99,1065
85,267,1066
263,326,1067
109,394,1068
111,104,1069
499,322,1070
828,32,1071
289,311,1072
264,259,1073
110,266,1074
448,260,1075
741,256,1076
76,292,1077
274,287,1078
729,296,1079
283,72,1080
116,271,1081
375,978,1082
341,496,1083
458,115,1084
116,374,1085
316,599,1086
105,304,1087
110,798,1088
97,339,1089
408,340,1090
258,498,1091
263,339,1092
103,394,1093
386,324,1094
83,256,1095
639,298,1096
354,277,1097
494,446,1098
102,425,1099
98,382,1100
442,256,1101
295,446,1102
416,725,1103
483,256,1104
102,280,1105
257,406,1106
263,108,1107
376,99,1108
67,290,1109
286,108,1110
337,776,1111
277,444,1112
516,531,1113
379,479,1114
257,400,1115
381,353,1116
115,365,1117
337,325,1118
317,279,1119
306,289,1120
102,290,1121
293,369,1122
282,110,1123
78,646,1124
68,510,1125
99,719,1126
109,264,1127
74,1069,1128
314,270,1129
953,379,1130
115,271,1131
258,495,1132
110,101,1133
109,296,1134
304,370,1135
276,322,1136
867,569,1137
117,108,1138
553,538,1139
449,324,1140
354,116,1141
341,324,1142
102,108,1143
109,112,1144
701,109,1145
351,585,1146
84,453,1147
304,338,1148
316,424,1149
261,715,1150
996,374,1151
97,273,1152
623,305,1153
269,469,1154
103,292,1155
282,114,1156
82,101,1157
697,112,1158
112,578,1159
403,116,1160
275,825,1161
