pair0,pair1,idx
97,281,787
109,263,788
118,307,789
118,292,790
118,105,791
318,273,792
286,273,793
306,672,794
318,102,795
101,314,796
110,584,797
741,286,798
582,256,799
303,548,800
513,326,801
289,306,802
116,443,803
261,354,804
115,291,805
270,490,806
336,315,807
716,286,808
279,665,809
116,121,810
110,97,811
115,270,812
288,68,813
99,392,814
617,98,815
101,284,816
105,354,817
342,292,818
364,267,819
119,363,820
264,601,821
463,107,822
110,277,823
368,278,824
495,263,825
299,256,826
272,441,827
620,100,828
116,305,829
285,296,830
101,417,831
725,449,832
112,97,833
416,297,834
98,108,835
97,404,836
300,256,837
372,293,838
257,71,839
444,589,840
69,628,841
353,346,842
698,259,843
103,588,844
285,109,845
101,480,846
393,297,847
101,291,848
329,623,849
119,474,850
111,479,851
353,410,852
749,297,853
338,104,854
100,307,855
112,104,856
579,635,857
336,296,858
104,289,859
117,286,860
119,408,861
317,340,862
119,329,863
364,289,864
386,314,865
118,377,866
376,110,867
101,101,868
350,107,869
74,673,870
114,299,871
710,306,872
286,408,873
119,114,874
570,297,875
488,116,876
291,531,877
488,266,878
268,809,879
273,32,880
300,306,881
118,302,882
841,777,883
262,443,884
384,108,885
543,409,886
518,514,887
648,107,888
271,446,889
765,256,890
121,825,891
109,267,892
488,100,893
109,426,894
424,472,895
281,365,896
115,318,897
398,112,898
339,285,899
342,119,900
281,408,901
271,569,902
315,280,903
350,256,904
332,731,905
103,885,906
291,670,907
111,346,908
102,312,909
411,311,910
257,79,911
351,283,912
464,269,913
112,350,914
119,97,915
118,275,916
350,101,917
303,462,918
342,120,919
630,320,920
470,314,921
102,465,922
104,473,923
277,280,924
371,111,925
411,461,926
281,279,927
342,298,928
39,266,929
262,116,930
272,624,931
333,314,932
105,436,933
374,615,934
286,111,935
342,412,936
272,104,937
336,403,938
798,270,939
891,410,940
723,290,941
285,115,942
103,114,943
286,279,944
468,268,945
296,293,946
115,392,947
111,335,948
274,283,949
321,483,950
379,423,951
99,105,952
300,116,953
299,260,954
98,114,955
111,458,956
282,278,957
100,328,958
378,527,959
99,658,960
583,262,961
109,394,962
562,321,963
375,290,964
108,117,965
564,32,966
580,865,967
432,32,968
494,278,969
460,523,970
309,796,971
102,105,972
373,108,973
309,295,974
429,527,975
858,101,976
258,114,977
857,109,978
116,302,979
109,466,980
285,99,981
264,474,982
257,66,983
100,289,984
336,103,985
117,260,986
870,267,987
553,524,988
630,107,989
783,101,990
281,256,991
115,303,992
256,278,993
429,489,994
807,256,995
309,640,996
286,114,997
751,265,998
481,296,999
261,114,1000
481,115,1001
341,323,1002
465,116,1003
101,318,1004
304,441,1005
264,761,1006
257,70,1007
111,391,1008
103,640,1009
316,934,1010
34,32,1011
108,537,1012
262,100,1013
541,495,1014
101,409,1015
98,369,1016
276,100,1017
110,263,1018
309,338,1019
98,279,1020
976,293,1021
104,376,1022
292,337,1023
109,772,1024
73,686,1025
109,307,1026
270,625,1027
97,360,1028
119,256,1029
503,438,1030
110,625,1031
619,269,1032
336,275,1033
382,281,1034
271,115,1035
590,266,1036
338,420,1037
430,479,1038
118,111,1039
357,266,1040
264,277,1041
352,268,1042
328,425,1043
437,265,1044
309,646,1045
267,649,1046
373,318,1047
98,121,1048
542,100,1049
271,821,1050
516,286,1051
112,105,1052
768,283,1053
112,116,1054
97,266,1055
437,356,1056
289,115,1057
680,110,1058
651,306,1059
714,456,1060
289,501,1061
258,879,1062
403,284,1063
700,565,1064
385,297,1065
553,561,1066
316,116,1067
491,823,1068
112,719,1069
275,708,1070
32,278,1071
536,121,1072
509,461,1073
262,266,1074
288,65,1075
67,104,1076
99,263,1077
285,637,1078
325,412,1079
280,119,1080
301,116,1081
793,116,1082
309,278,1083
434,406,1084
429,392,1085
103,256,1086
454,686,1087
119,393,1088
274,628,1089
648,320,1090
99,876,1091
74,111,1092
263,260,1093
430,458,1094
263,115,1095
101,121,1096
109,326,1097
633,465,1098
428,269,1099
485,293,1100
296,286,1101
292,344,1102
109,300,1103
272,921,1104
482,112,1105
310,314,1106
381,260,1107
973,394,1108
283,387,1109
1061,1098,1110
100,299,1111
98,601,1112
518,305,1113
331,377,1114
369,589,1115
795,259,1116
114,362,1117
362,116,1118
1092,104,1119
380,268,1120
99,318,1121
282,469,1122
107,277,1123
115,400,1124
328,436,1125
117,615,1126
97,119,1127
645,356,1128
562,114,1129
329,320,1130
286,400,1131
784,32,1132
367,334,1133
108,295,1134
306,505,1135
104,634,1136
493,524,1137
118,279,1138
486,121,1139
782,32,1140
310,292,1141
606,302,1142
307,258,1143
109,707,1144
503,278,1145
301,334,1146
274,456,1147
1014,418,1148
280,98,1149
641,260,1150
303,502,1151
616,829,1152
631,363,1153
276,115,1154
112,329,1155
622,275,1156
318,259,1157
407,314,1158
919,259,1159
445,269,1160
526,307,1161
119,563,1162
476,314,1163
403,389,1164
117,316,1165
996,297,1166
770,259,1167
338,474,1168
291,502,1169
264,483,1170
118,405,1171
638,32,1172
